						
c284-tqph.Vehicle_Color.txt.gz	color 					
c284-tqph.Vehicle_Make.txt.gz	car_make					
cgz5-877h.SCHOOL_LEVEL_.txt.gz	school_level					
ci93-uc8s.Address1.txt.gz	address					
ci93-uc8s.Vendor_DBA.txt.gz	business_name					
ci93-uc8s.Website.txt.gz	website					
cspg-yi7g.ADDRESS.txt.gz	address					
cvh6-nmyi.SCHOOL_LEVEL_.txt.gz	school_level					
cwg5-cqkm.QUEENS___COOPERATIVES_COMPARABLE_PROPERTIES___Building_Classification.txt.gz	building_classification					
cwqt-nvfg.Boro.txt.gz	other					
cyfw-hfqk.STATEN_ISLAND_CONDOMINIUM_PROPERTY_Neighborhood.txt.gz	neighborhood					
cznr-hmrv.School_Name.txt.gz	school_name					
d3ge-anaz.CORE_COURSE__MS_CORE_and_9_12_ONLY_.txt.gz	subject_in_school					
diks-hcwd.School_Name.txt.gz	school_name					
dj4e-3xrn.SCHOOL_LEVEL_.txt.gz	school_level					
dm9a-ab7w.APPLICANT_FIRST_NAME.txt.gz	person_name					
dm9a-ab7w.AUTH_REP_FIRST_NAME.txt.gz	person_name					
dm9a-ab7w.AUTH_REP_LAST_NAME.txt.gz	person_name					
dm9a-ab7w.OWNER_ZIP.txt.gz	zip_code					
dm9a-ab7w.STREET_NAME.txt.gz	street_name					
dpm2-m9mq.applicant_zip.txt.gz	zip_code					
e9xc-u3ds.CANDMI.txt.gz	other					
eamj-ryxu.Agency.txt.gz	city_agency					
en2c-j6tw.BRONX_CONDOMINIUM_PROPERTY_Building_Classification.txt.gz	building_classification					
en2c-j6tw.BRONX_CONDOMINIUM_PROPERTY_Neighborhood.txt.gz	neighborhood					
erm2-nwe9.Landmark.txt.gz	street_name					
erm2-nwe9.Park_Facility_Name.txt.gz	park_playground					
f7qh-bcr5.CORE_SUBJECT___MS_CORE_and__9_12_ONLY_.txt.gz	subject_in_school					
faiq-9dfq.Vehicle_Body_Type.txt.gz	vehicle_type					
faiq-9dfq.Vehicle_Color.txt.gz	Color					
fbaw-uq4e.Location_1.txt.gz	lat_lon_cord					
"feu5-w2e2.BusinessCity.txt.gz
"	city					
feu5-w2e2.BusinessZip.txt.gz	zip_code					
ffnc-f3aa.SCHOOL_LEVEL_.txt.gz	school_level					
fgq8-am2v.Website.txt.gz	website					
fp78-wt5b.address.txt.gz	address					
fp78-wt5b.phonenumber.txt.gz	phone_number					
fxs2-faah.PRINCIPAL_PHONE_NUMBER.txt.gz	phone_number					
fzv4-jan3.SCHOOL_LEVEL_.txt.gz	school_level					
gahm-hu5h.BRONX___COOPERATIVES_COMPARABLE_PROPERTIES___Neighborhood.txt.gz	neighborhood					
gahm-hu5h.COMPARABLE_RENTAL___2__Neighborhood.txt.gz	neighborhood					
gez6-674h.CORE_SUBJECT___MS_CORE_and__9_12_ONLY_.txt.gz	subject_in_school					
gpwd-npar.INCIDENT_ADDRESS.txt.gz	address					
gpwd-npar.LOCATION.txt.gz	lat_lon_cord					
h9gi-nx95.VEHICLE_TYPE_CODE_1.txt.gz	vehicle_type					
h9gi-nx95.VEHICLE_TYPE_CODE_2.txt.gz	vehicle_type					
h9gi-nx95.VEHICLE_TYPE_CODE_3.txt.gz	vehicle_type					
h9gi-nx95.VEHICLE_TYPE_CODE_4.txt.gz	vehicle_type					
h9gi-nx95.VEHICLE_TYPE_CODE_5.txt.gz	vehicle_type					
hy4q-igkk.Cross_Street_2.txt.gz	street_name					
hy4q-igkk.School_Name.txt.gz	school_name					
hy4q-igkk.Street_Name.txt.gz	street_name					
i6b5-j7bu.TOSTREETNAME.txt.gz	street_name					
i8ys-e4pm.CORE_COURSE_9_12_ONLY_.txt.gz	subject_in_school					
ic3t-wcy2.Applicant_s_First_Name.txt.gz	person_name					
ipu4-2q9a.Site_Safety_Mgr_s_First_Name.txt.gz	person_name					
ipu4-2q9a.Site_Safety_Mgr_s_Last_Name.txt.gz	person_name					
itd7-gx3g.Location_1.txt.gz	lat_lon_cord					
jhjm-vsp8.Agency.txt.gz	city_agency					
ji82-xba5.address.txt.gz	address					
jt7v-77mi.Vehicle_Color.txt.gz	color 					
jt7v-77mi.Vehicle_Make.txt.gz	car_make					
"jxyc-rxiv.COMPARABLE_RENTAL___2__Building_Classification.txt.gz
"	building_classification					
jxyc-rxiv.MANHATTAN___COOPERATIVES_COMPARABLE_PROPERTIES___Neighborhood.txt.gz	neighborhood					
jz4z-kudi.Respondent_Address__City_.txt.gz	city					
jz4z-kudi.Respondent_Address__Zip_Code_.txt.gz	zip_code					
jz4z-kudi.Violation_Location__City_.txt.gz	city					
jz4z-kudi.Violation_Location__Zip_Code_.txt.gz	zip_code					
k3cd-yu9d.BOROUGH_CITY.txt.gz	city					
k3cd-yu9d.CANDMI.txt.gz	other					
k4xi-fxp5.Borough.txt.gz	borough					
kevu-8hby.STR_NAME.txt.gz	street_name					
kiv2-tbus.Vehicle_Body_Type.txt.gz	vehicle_type					
kiv2-tbus.Vehicle_Color.txt.gz	color 					
kiv2-tbus.Vehicle_Make.txt.gz	car_make					
kiyv-ks3f.Website.txt.gz	website					
kj4p-ruqc.StreetName.txt.gz	street_name					
kwmq-dbub.CANDMI.txt.gz	other					
kyad-zm4j.Location.txt.gz	lat_lon_cord					
kz72-dump.CORE_SUBJECT___MS_CORE_and__09_12_ONLY_.txt.gz	subject_in_school					
m3fi-rt3k.Agency_.txt.gz	city_agency					
mdcw-n682.Agency_Acronym.txt.gz	city_agency					
mdcw-n682.First_Name.txt.gz	person_name					
mdcw-n682.Last_Name.txt.gz	person_name					
mdcw-n682.Middle_Initial.txt.gz	other					
mjux-q9d4.SCHOOL_LEVEL_.txt.gzv	school_level					
mqdy-gu73.Color.txt.gz	color 					
